Figure,Year,Site,Variable,"DaysSinceApril30, Count"
6,1988,Gammendorf,Adult%,"15.404255319148934, -0.3286384976525838"
6,1988,Gammendorf,Adult%,"22.34986514833683, 0.7042253521126725"
6,1988,Gammendorf,Adult%,"32.04045549895116, 49.812206572769966"
6,1988,Gammendorf,Adult%,"38.60623314354211, 15.633802816901408"
6,1988,Gammendorf,Adult%,"44.517605633802845, 17.417840375586856"
6,1988,Gammendorf,Adult%,"52.29667365897512, 7.370892018779344"
6,1988,Gammendorf,Adult%,"61.06952352412347, 6.4319248826291044"
6,1988,Gammendorf,Adult%,"65.91594246329038, 1.267605633802816"
6,1990,Gammendorf,Adult%,"8.622340425531913, -0.3286384976525909"
6,1990,Gammendorf,Adult%,"15.484042553191486, 19.671361502347423"
6,1990,Gammendorf,Adult%,"29.2085705723704, 39.953051643192495"
6,1990,Gammendorf,Adult%,"42.53191489361703, 19.671361502347416"
6,1990,Gammendorf,Adult%,"59.173733892718005, 11.220657276995304"
6,1990,Gammendorf,Adult%,"70.97175606832485, 8.591549295774648"
8,1990,Greenhouse,Temperature,"-16.201365187713318, 19.01840490797546"
8,1990,Greenhouse,Temperature,"-8.215017064846421, 22.576687116564415"
8,1990,Greenhouse,Temperature,"-4.11945392491468, 25.337423312883434"
8,1990,Greenhouse,Temperature,"1.8191126279863497, 26.07361963190184"
8,1990,Greenhouse,Temperature,"8.883959044368595, 28.09815950920245"
8,1990,Greenhouse,Temperature,"16.97269624573378, 22.944785276073617"
8,1990,Greenhouse,Temperature,"24.959044368600686, 20.981595092024538"
8,1990,Greenhouse,Temperature,"31.819112627986343, 22.760736196319016"
8,1990,Greenhouse,Temperature,"38.67918088737201, 25.276073619631898"
8,1990,Greenhouse,Temperature,"45.64163822525596, 24.110429447852756"
8,1990,Greenhouse,Temperature,"48.6109215017065, 23.742331288343554"
8,1990,Greenhouse,Temperature,"52.501706484641645, 27.361963190184046"
8,1990,Greenhouse,Temperature,"56.597269624573386, 27.361963190184046"
8,1990,Greenhouse,Temperature,"60.69283276450513, 28.09815950920245"
8,1990,Greenhouse,Temperature,"64.68600682593856, 30.5521472392638"
8,1990,Greenhouse,Temperature,"70.82935153583618, 25.705521472392636"
8,1990,Greenhouse,Temperature,"76.7679180887372, 28.28220858895705"
8,1990,Greenhouse,LabOvipRate,"-16.508933953847272, 0.022787007788569014"
8,1990,Greenhouse,LabOvipRate,"-8.470208097224571, 0.14045959827348753"
8,1990,Greenhouse,LabOvipRate,"-4.086807648718391, 5.564490849027024"
8,1990,Greenhouse,LabOvipRate,"2.153408405873975, 10.366641749656381"
8,1990,Greenhouse,LabOvipRate,"9.493212124134928, 11.785223409129268"
8,1990,Greenhouse,LabOvipRate,"17.771888789756673, 8.622049142774465"
8,1990,Greenhouse,LabOvipRate,"25.926478744182674, 6.812833064068865"
8,1990,Greenhouse,LabOvipRate,"33.09734513274334, 6.460297557329216"
8,1990,Greenhouse,LabOvipRate,"40.08507149574399, 3.3470376889874807"
8,1990,Greenhouse,LabOvipRate,"47.27387813170648, 4.244532323792523"
8,1990,Greenhouse,LabOvipRate,"50.40519881362877, 2.426876612572631"
8,1990,Greenhouse,LabOvipRate,"54.41484410793079, 1.8086132478117207"
8,1990,Greenhouse,LabOvipRate,"58.695088133876666, 0.04497118468326988"
8,1990,Greenhouse,LabOvipRate,"62.85722553109399, 0.051964023052249786"
8,1990,Greenhouse,LabOvipRate,"67.0193629283113, 0.05895686142122969"
8,1990,Greenhouse,LabOvipRate,"73.19080803453008, 0.06932555279592734"
8,1990,Greenhouse,FieldOvipRate,"33.122012972920814, 8.17908900195317"
8,1990,Greenhouse,FieldOvipRate,"40.16430758843528, 8.868004147476547"
8,1990,Greenhouse,FieldOvipRate,"47.249957801837425, 12.5778254683996"
8,1990,Greenhouse,FieldOvipRate,"50.35960068481589, 9.249716669479877"
8,1990,Greenhouse,FieldOvipRate,"54.515757999565935, 8.84003279400062"
8,1990,Greenhouse,FieldOvipRate,"58.64874249475538, 6.815726652359476"
8,1990,Greenhouse,FieldOvipRate,"62.763786742542976, 3.5413903691736337"
8,1990,Greenhouse,FieldOvipRate,"67.06421354681582, 3.1840322152829614"
8,1990,Greenhouse,FieldOvipRate,"73.21771840563281, 1.9443707651129678"
8,1990,Greenhouse,FieldOvipRate,"79.37047575414142, 0.652624725711938"
8,1990,Greenhouse,FieldOvipRate,"85.53967832943499, 0.5067396493935483"
8,1990,Greenhouse,FieldOvipRate,"92.71054471799565, 0.15420414265389937"
