Site,Date,Stage,MeanCount,GDD
Sutherlin,3/28/2013,adult,0,59.6
Sutherlin,4/3/2013,adult,5.133333,88.8
Sutherlin,4/17/2013,adult,14.26666,111.4
Sutherlin,4/24/2013,adult,14.13333,139.4
Sutherlin,5/8/2013,adult,2.2,225.7
Sutherlin,5/24/2013,adult,1.53333,308.6
Sutherlin,6/3/2013,adult,0.133333,362.5
MorganLake,4/5/2013,adult,0,64.1
MorganLake,4/9/2013,adult,0,67.8
MorganLake,4/12/2013,adult,0,71.6
MorganLake,4/19/2013,adult,0.53333,79.5
MorganLake,4/26/2013,adult,4.866666,105.3
MorganLake,5/10/2013,adult,1.06666,180.7
MorganLake,5/24/2013,adult,0.2,226.3
MorganLake,6/5/2013,adult,0.06666,284.2
Sutherlin,3/28/2013,egg,0,59.6
Sutherlin,4/3/2013,egg,0.006666,88.8
Sutherlin,4/17/2013,egg,1.34666,111.4
Sutherlin,4/24/2013,egg,9.693333,139.4
Sutherlin,5/8/2013,egg,17.63333,225.7
Sutherlin,5/24/2013,egg,NA,308.6
Sutherlin,6/3/2013,egg,NA,362.5
MorganLake,4/5/2013,egg,0,64.1
MorganLake,4/9/2013,egg,0,67.8
MorganLake,4/12/2013,egg,0,71.6
MorganLake,4/19/2013,egg,0.02,79.5
MorganLake,4/26/2013,egg,0.5266666,105.3
MorganLake,5/10/2013,egg,11.073333,180.7
MorganLake,5/24/2013,egg,13.206666,226.3
MorganLake,6/5/2013,egg,NA,284.2
